customer_care_calls,customer_rating,prior_purchases,discount_offered,weight_in_gms,warehouse_block,mode_of_shipment,product_importance,gender,delivery_status,weight_category
4,3,5,6,4384,D,ship,medium,male,late,High
4,4,5,9,4902,F,flight,low,female,on_time,High
3,2,3,9,4301,B,ship,medium,female,late,High
4,4,2,1,5320,F,ship,high,female,late,High
4,4,2,3,5692,B,road,medium,female,on_time,High
5,1,5,7,1620,C,road,low,male,on_time,Low
5,4,2,8,5885,F,ship,medium,female,on_time,High
5,3,3,38,3669,F,ship,medium,male,on_time,High
3,5,3,8,5272,C,ship,medium,male,on_time,High
5,5,5,2,1657,F,flight,low,male,late,Low
4,2,4,8,5660,B,road,low,male,late,High
5,3,5,10,1170,D,ship,medium,male,on_time,Low
5,3,5,2,1630,D,flight,low,female,on_time,Low
3,2,3,8,5149,D,flight,low,female,on_time,High
3,4,3,1,4020,D,ship,low,male,on_time,High
5,5,2,31,2000,A,flight,high,female,on_time,Low
3,1,4,12,2779,D,ship,medium,male,on_time,Low
5,4,5,3,3301,B,flight,low,male,on_time,Low
5,1,2,4,4242,B,ship,low,female,on_time,High
3,1,3,5,5898,D,flight,high,male,on_time,High
4,5,2,46,3076,F,ship,medium,male,on_time,Low
4,5,3,6,4671,D,ship,medium,male,on_time,High
4,2,2,4,5852,C,ship,low,male,late,High
6,3,4,10,1798,A,ship,low,male,late,Low
4,3,6,6,1704,C,ship,medium,male,on_time,Low
3,3,3,5,4888,B,ship,low,female,on_time,High
3,2,2,1,4133,A,ship,low,female,on_time,High
5,5,5,10,1719,F,ship,low,female,on_time,Low
3,5,2,56,3711,F,ship,medium,female,on_time,High
5,4,3,23,1132,F,flight,medium,male,on_time,Low
5,4,4,57,1613,D,ship,medium,male,on_time,Low
4,1,4,7,5459,A,flight,low,female,on_time,High
5,5,2,2,4125,A,ship,medium,male,on_time,High
4,4,3,34,1283,C,ship,high,male,on_time,Low
3,2,3,25,2334,F,road,low,female,on_time,Low
3,4,3,3,4811,C,ship,medium,female,late,High
3,2,7,3,5584,F,ship,high,male,late,High
4,2,6,8,1391,B,road,low,male,on_time,Low
5,1,3,1,5537,F,flight,medium,female,late,High
5,4,3,1,4181,D,ship,low,female,late,High
3,5,3,6,5148,F,ship,low,male,late,High
4,5,3,49,3914,C,ship,low,female,on_time,High
6,4,5,58,1463,A,ship,low,female,on_time,Low
3,3,3,12,1900,D,flight,high,male,on_time,Low
4,2,4,2,5503,F,ship,medium,female,late,High
3,1,2,25,1848,F,ship,low,female,on_time,Low
7,1,4,2,1216,D,flight,low,male,on_time,Low
3,1,8,6,5023,F,ship,high,male,on_time,High
4,3,2,3,4862,F,ship,medium,female,on_time,High
5,1,4,2,4615,F,road,medium,female,late,High
3,4,3,56,1550,C,ship,low,male,on_time,Low
2,1,3,4,4512,B,ship,low,male,late,High
6,4,4,4,1244,C,ship,medium,male,on_time,Low
4,2,4,62,2307,D,ship,low,male,on_time,Low
4,4,2,21,1495,A,ship,medium,male,on_time,Low
3,4,3,4,5368,C,road,low,female,late,High
5,4,4,5,1184,F,ship,low,female,on_time,Low
5,4,5,1,1320,F,road,medium,female,late,Low
3,3,3,4,5048,F,ship,low,male,late,High
3,1,2,44,2651,B,ship,low,female,on_time,Low
3,3,2,58,3360,F,road,medium,female,on_time,Low
3,2,2,37,2460,F,ship,medium,female,on_time,Low
3,3,3,6,5109,F,road,low,male,late,High
5,2,2,1,2775,D,flight,low,female,on_time,Low
4,1,3,47,3489,A,road,high,male,on_time,Low
5,2,5,4,1634,C,flight,medium,male,late,Low
6,3,3,56,3251,F,road,low,female,on_time,Low
4,3,3,5,4712,B,ship,low,female,on_time,High
6,2,4,35,1625,B,ship,low,male,on_time,Low
3,2,3,9,4282,C,ship,medium,male,late,High
4,2,3,12,3676,C,ship,medium,female,on_time,High
5,3,3,7,4462,D,road,low,male,on_time,High
4,3,3,52,1432,B,ship,medium,male,on_time,Low
3,4,3,1,4444,D,flight,medium,male,on_time,High
5,2,2,10,4741,B,road,high,female,late,High
5,3,5,6,1192,F,ship,medium,female,late,Low
4,2,3,27,1639,A,road,low,female,on_time,Low
4,4,2,6,5116,F,ship,low,female,late,High
4,4,3,1,4194,C,ship,low,female,on_time,High
5,1,4,2,5496,F,ship,low,male,late,High
4,4,3,1,4774,F,ship,low,female,late,High
5,2,8,5,4751,D,ship,medium,male,late,High
3,2,3,48,2792,B,road,medium,male,on_time,Low
7,2,5,5,1614,C,ship,medium,male,late,Low
4,3,2,3,5914,D,ship,low,male,on_time,High
3,2,3,19,1111,B,ship,low,female,on_time,Low
4,4,3,5,4892,A,road,medium,female,late,High
4,2,5,1,5012,C,road,low,female,late,High
4,1,4,5,5570,C,flight,medium,female,on_time,High
5,1,6,8,4944,D,flight,high,female,on_time,High
3,4,4,54,1885,A,ship,low,male,on_time,Low
4,5,2,6,5920,F,ship,medium,male,late,High
2,3,3,2,5331,A,flight,medium,male,late,High
3,4,2,5,4342,C,road,medium,female,on_time,High
3,2,3,1,4997,F,ship,high,male,on_time,High
4,3,3,8,4391,D,ship,low,male,on_time,High
4,1,3,56,1811,F,ship,low,female,on_time,Low
4,5,3,52,1741,B,ship,low,female,on_time,Low
7,3,5,4,1163,F,ship,medium,female,on_time,Low
5,3,3,4,4195,A,ship,medium,female,late,High
5,5,4,10,5913,C,ship,low,female,on_time,High
2,3,3,45,1639,C,road,low,female,on_time,Low
4,3,3,45,1903,F,ship,low,male,on_time,Low
7,5,4,4,1139,C,ship,medium,male,on_time,Low
6,3,4,8,1805,F,flight,medium,female,late,Low
5,1,3,44,3993,B,ship,medium,female,on_time,High
3,1,3,1,1252,B,flight,low,male,on_time,Low
4,5,3,5,4913,B,road,low,male,late,High
4,5,3,3,1403,F,road,medium,male,on_time,Low
4,3,2,2,5431,D,ship,low,male,late,High
4,3,4,1,4257,F,ship,medium,male,late,High
4,2,3,1,1182,D,ship,low,male,on_time,Low
3,5,2,5,4504,C,ship,medium,female,on_time,High
4,3,5,5,1533,C,road,low,female,on_time,Low
4,1,5,10,1144,A,road,medium,female,late,Low
3,1,4,1,5761,F,ship,medium,female,on_time,High
3,4,3,49,3225,D,road,low,female,on_time,Low
3,3,4,60,1722,F,road,low,female,on_time,Low
3,2,3,5,4304,D,ship,high,male,on_time,High
3,1,8,1,4122,A,road,low,female,on_time,High
4,4,2,6,5942,B,ship,medium,female,late,High
6,1,4,7,1758,A,ship,low,male,late,Low
4,4,5,2,1709,C,ship,low,female,late,Low
4,2,3,6,4963,F,road,medium,male,late,High
4,2,6,2,1712,B,ship,medium,male,on_time,Low
7,5,4,10,1166,F,ship,low,male,on_time,Low
4,2,3,4,5085,D,ship,low,male,late,High
5,2,2,6,4120,F,flight,medium,female,on_time,High
3,3,4,6,4803,A,ship,low,male,on_time,High
3,1,2,61,1509,D,ship,medium,female,on_time,Low
6,3,4,8,1925,C,ship,low,male,late,Low
4,4,3,8,4715,B,ship,medium,male,on_time,High
6,4,4,3,4736,F,ship,low,male,on_time,High
3,1,4,33,2782,F,road,low,male,on_time,Low
3,4,2,7,4699,F,flight,medium,female,on_time,High
2,3,3,6,4444,F,ship,low,male,on_time,High
6,2,4,7,1477,A,flight,low,female,late,Low
4,3,3,10,5305,B,flight,medium,male,late,High
3,3,3,64,3103,C,ship,low,male,on_time,Low
3,1,3,22,3266,F,ship,medium,male,on_time,Low
4,2,2,8,4295,C,ship,low,female,late,High
6,1,4,1,1735,D,ship,low,female,on_time,Low
5,5,4,9,4208,B,road,low,female,late,High
3,2,3,1,5343,C,flight,medium,male,on_time,High
4,4,3,7,5807,C,ship,low,female,on_time,High
2,1,3,24,1119,F,ship,medium,female,on_time,Low
3,1,3,4,4965,A,ship,medium,female,late,High
4,4,3,5,5399,F,ship,low,female,late,High
3,1,2,10,4146,F,road,low,female,on_time,High
4,5,3,23,1785,A,ship,medium,male,on_time,Low
3,2,2,1,4334,D,ship,low,male,late,High
5,4,2,2,4753,F,flight,low,male,late,High
4,4,2,7,4572,F,road,low,female,on_time,High
3,2,2,1,4978,B,flight,medium,female,late,High
5,3,4,7,2675,D,ship,medium,female,on_time,Low
6,1,5,4,4887,D,road,low,male,late,High
3,1,3,8,5318,C,road,low,male,late,High
4,2,2,4,5233,F,ship,high,female,on_time,High
4,1,5,9,1530,F,road,low,male,late,Low
3,1,4,8,5376,D,ship,low,female,on_time,High
5,4,2,55,2257,A,ship,low,male,on_time,Low
4,4,3,12,3279,A,flight,low,male,on_time,Low
4,4,2,4,5101,F,ship,medium,female,late,High
3,5,3,5,5206,C,road,high,female,late,High
4,1,2,7,5864,B,flight,medium,female,late,High
5,2,3,29,2411,D,road,medium,female,on_time,Low
5,4,4,1,5533,A,ship,low,male,on_time,High
3,4,3,4,4628,B,road,low,male,late,High
3,5,4,7,4741,B,ship,medium,female,on_time,High
4,5,6,9,1858,B,ship,low,female,late,Low
5,2,2,63,1254,F,ship,medium,female,on_time,Low
7,3,4,7,1915,D,flight,medium,female,late,Low
4,3,4,5,5307,C,ship,low,female,late,High
5,3,5,4,1257,F,ship,medium,male,on_time,Low
5,4,2,10,5670,A,flight,medium,male,late,High
3,3,3,5,4664,D,road,medium,female,late,High
6,5,5,63,2573,F,ship,high,female,on_time,Low
5,1,3,3,4939,A,road,low,male,on_time,High
5,3,5,9,4990,F,ship,medium,female,late,High
4,1,7,4,4476,D,ship,high,male,on_time,High
5,5,5,35,2508,B,ship,low,female,on_time,Low
5,5,4,8,1132,F,ship,low,male,on_time,Low
4,2,3,3,4653,C,ship,low,male,on_time,High
3,3,3,5,5981,A,road,low,female,on_time,High
3,2,3,7,4682,D,ship,low,male,late,High
3,2,2,53,1390,A,ship,medium,male,on_time,Low
3,1,3,61,1313,B,ship,medium,male,on_time,Low
4,1,2,3,5877,C,ship,low,female,late,High
5,3,2,1,4500,C,flight,low,female,on_time,High
4,3,2,9,4322,D,road,medium,female,on_time,High
3,2,2,2,4122,C,ship,medium,female,late,High
4,2,4,62,3198,A,ship,low,female,on_time,Low
5,4,4,65,1951,F,road,low,female,on_time,Low
4,1,2,5,5014,C,ship,medium,female,on_time,High
3,1,2,25,1851,B,ship,high,male,on_time,Low
6,3,3,7,4829,D,road,low,female,on_time,High
3,4,2,8,4837,C,flight,medium,female,late,High
2,5,3,5,5320,F,ship,low,female,late,High
3,5,3,9,4191,B,road,medium,male,late,High
4,3,4,4,4102,C,ship,medium,male,on_time,High
5,4,2,8,4996,B,ship,high,male,on_time,High
3,3,4,12,2151,F,road,low,male,on_time,Low
5,2,8,62,3450,B,ship,low,male,on_time,Low
3,5,5,27,1581,C,road,low,male,on_time,Low
6,5,4,6,1185,D,ship,medium,female,late,Low
3,3,2,42,1950,B,ship,low,male,on_time,Low
5,2,6,5,1951,F,road,low,female,late,Low
4,1,3,5,3100,D,road,low,male,on_time,Low
4,1,3,30,2669,D,ship,medium,female,on_time,Low
3,3,3,56,1490,C,flight,low,male,on_time,Low
3,3,5,10,5580,F,ship,medium,male,late,High
2,3,6,6,5341,B,flight,high,female,on_time,High
5,3,3,2,4731,F,road,low,female,on_time,High
7,1,4,6,1297,F,ship,medium,male,on_time,Low
4,3,5,3,1224,A,ship,medium,male,late,Low
6,2,6,3,5967,D,road,low,male,on_time,High
4,2,3,6,5616,F,ship,medium,female,on_time,High
4,5,5,7,1381,D,ship,medium,female,late,Low
4,4,3,10,5674,B,ship,low,male,on_time,High
4,5,3,2,1693,A,flight,low,female,late,Low
3,5,3,2,5556,A,road,low,female,on_time,High
3,2,2,24,1966,C,ship,low,female,on_time,Low
3,3,4,10,5181,C,flight,medium,male,late,High
4,3,3,10,4020,D,ship,low,male,late,High
3,5,2,4,4015,F,ship,low,male,late,High
6,2,4,8,1015,A,ship,low,male,late,Low
3,2,3,44,3802,F,ship,high,female,on_time,High
4,2,5,10,1744,F,ship,medium,male,late,Low
4,1,3,31,1712,F,flight,medium,male,on_time,Low
3,2,3,56,1303,D,ship,low,female,on_time,Low
5,1,5,3,4966,F,ship,low,male,late,High
3,5,3,8,5877,C,ship,low,male,late,High
2,2,6,1,4165,A,ship,medium,female,on_time,High
4,4,6,10,4596,D,ship,medium,female,on_time,High
5,4,4,38,2771,B,ship,medium,female,on_time,Low
3,2,4,6,5761,F,flight,medium,male,late,High
4,2,3,4,5916,F,ship,low,female,late,High
6,5,4,10,1669,D,ship,low,male,late,Low
3,4,2,12,1493,B,flight,medium,male,on_time,Low
4,4,5,9,1716,F,ship,medium,female,on_time,Low
7,4,4,10,1217,D,ship,low,female,on_time,Low
4,1,3,25,1152,D,ship,low,female,on_time,Low
7,1,4,9,1885,F,ship,low,female,late,Low
5,2,2,9,5530,B,road,medium,female,late,High
4,5,2,6,4994,D,ship,low,male,late,High
6,1,4,7,1372,F,road,low,female,on_time,Low
3,5,3,45,2513,A,ship,low,female,on_time,Low
5,1,2,10,4108,C,ship,medium,female,on_time,High
3,5,2,5,4933,F,flight,low,male,on_time,High
5,1,3,32,3003,C,ship,medium,female,on_time,Low
3,1,5,1,5459,B,ship,low,male,late,High
4,5,3,3,5824,A,ship,low,female,on_time,High
6,1,2,57,3966,F,ship,low,male,on_time,High
3,3,2,1,5884,C,flight,low,male,on_time,High
5,3,2,3,5113,D,ship,medium,male,late,High
3,4,3,7,5013,C,ship,low,male,on_time,High
4,5,3,10,5275,C,ship,medium,female,late,High
7,5,3,46,1550,A,ship,low,male,on_time,Low
5,1,3,43,2994,A,ship,low,female,on_time,Low
4,5,2,2,4978,C,ship,low,male,late,High
4,5,3,9,1314,F,ship,medium,female,on_time,Low
3,1,2,9,1158,A,ship,low,male,on_time,Low
4,3,3,4,5866,A,ship,low,male,late,High
7,2,4,7,1176,F,ship,low,female,late,Low
6,3,4,5,1261,F,ship,high,female,on_time,Low
4,3,5,10,1646,D,flight,medium,male,on_time,Low
5,2,6,2,1851,A,ship,low,male,late,Low
5,3,5,7,4157,B,ship,low,male,late,High
3,3,3,5,4388,C,ship,low,female,late,High
4,3,3,1,5129,F,ship,medium,female,on_time,High
5,4,3,1,5775,A,ship,low,female,on_time,High
3,3,10,7,4273,B,ship,low,female,on_time,High
3,2,3,39,1512,B,road,medium,female,on_time,Low
5,2,7,7,5204,D,ship,low,male,late,High
4,3,6,10,1174,F,flight,medium,male,late,Low
6,1,4,1,1434,A,ship,low,male,late,Low
5,1,2,7,4792,D,road,low,female,late,High
5,5,8,9,5186,D,road,low,male,late,High
3,3,3,33,3463,A,ship,low,female,on_time,Low
3,1,3,9,5539,F,ship,low,female,late,High
4,2,3,2,4750,F,ship,low,male,on_time,High
3,3,3,4,1399,F,ship,low,female,late,Low
3,2,2,7,5522,C,ship,low,male,late,High
7,2,5,61,1856,F,road,medium,female,on_time,Low
3,5,2,1,5970,D,ship,medium,male,late,High
5,1,3,8,5727,C,flight,medium,male,on_time,High
4,1,2,2,5685,A,ship,low,female,late,High
3,3,4,6,4015,B,ship,low,female,late,High
5,5,3,9,3873,C,ship,medium,female,on_time,High
6,5,4,1,1957,F,ship,medium,female,on_time,Low
4,2,3,5,4702,C,ship,medium,female,on_time,High
5,5,5,7,1137,B,ship,low,female,late,Low
3,3,2,1,5098,A,ship,medium,male,on_time,High
4,3,3,4,4666,B,flight,medium,female,late,High
2,2,3,28,1968,F,ship,low,male,on_time,Low
5,5,5,6,1300,C,flight,low,female,late,Low
3,1,3,8,5509,F,flight,medium,female,late,High
4,3,2,2,5879,F,ship,medium,male,late,High
4,4,5,5,1184,A,ship,medium,female,late,Low
3,3,4,7,5147,D,ship,medium,female,late,High
3,3,2,10,5632,D,road,low,female,late,High
6,3,4,3,1772,F,ship,medium,male,on_time,Low
5,2,3,2,4054,B,ship,low,male,on_time,High
5,3,5,7,1303,D,flight,medium,female,on_time,Low
3,3,3,2,4363,D,road,low,male,late,High
5,2,2,6,2059,C,ship,high,female,on_time,Low
5,1,4,2,5978,C,ship,high,female,on_time,High
4,3,4,13,1583,D,ship,medium,male,on_time,Low
6,2,4,2,1196,F,ship,low,male,late,Low
4,3,5,8,1753,D,road,medium,male,on_time,Low
4,1,6,9,1753,B,ship,low,female,on_time,Low
3,2,4,13,1790,D,ship,low,male,on_time,Low
5,5,2,19,1936,D,flight,medium,male,on_time,Low
4,5,2,5,4127,A,ship,medium,male,late,High
6,4,4,8,1867,A,ship,medium,male,late,Low
3,1,3,9,5797,B,ship,medium,female,late,High
5,3,3,2,4688,A,road,medium,female,late,High
3,1,3,5,1556,B,ship,medium,male,on_time,Low
3,5,3,9,4468,B,ship,low,male,late,High
2,1,3,1,4391,F,ship,high,male,late,High
3,1,10,4,4496,C,ship,low,female,on_time,High
4,5,3,2,5439,C,ship,medium,female,on_time,High
3,5,8,9,4733,C,ship,medium,female,on_time,High
3,5,3,61,1473,A,ship,low,male,on_time,Low
6,3,5,1,1271,A,ship,medium,female,late,Low
3,1,2,52,2312,F,road,high,male,on_time,Low
4,5,3,4,5180,A,flight,medium,male,on_time,High
4,1,5,6,1027,B,ship,medium,male,late,Low
4,1,2,10,4653,C,ship,low,male,on_time,High
3,4,4,9,5301,A,road,medium,female,late,High
3,4,3,60,2980,C,flight,low,female,on_time,Low
6,4,4,7,1969,D,ship,low,male,late,Low
3,3,2,26,1659,F,ship,low,female,on_time,Low
3,5,3,6,4172,A,ship,low,female,on_time,High
5,2,2,10,4938,F,ship,low,female,late,High
4,5,3,38,3031,D,ship,low,male,on_time,Low
3,4,2,2,4219,A,ship,medium,male,on_time,High
5,5,3,4,4534,F,ship,low,male,late,High
2,5,6,41,1772,C,ship,medium,female,on_time,Low
4,3,4,1,4984,B,flight,medium,male,on_time,High
7,3,4,3,1296,F,road,medium,male,late,Low
4,2,5,17,3630,F,ship,medium,female,on_time,Low
3,2,4,18,2699,A,ship,low,female,on_time,Low
3,4,2,1,3398,B,road,medium,female,on_time,Low
3,2,3,38,2108,B,road,medium,male,on_time,Low
4,1,2,10,5085,A,ship,low,male,on_time,High
4,4,6,6,5451,B,ship,low,male,on_time,High
3,5,3,3,5540,F,ship,low,female,late,High
4,2,2,5,5608,C,ship,low,female,on_time,High
6,1,7,7,2338,D,ship,medium,female,on_time,Low
4,1,3,1,5677,D,ship,low,female,late,High
7,2,5,9,1327,F,flight,medium,male,late,Low
3,5,3,2,5841,D,flight,low,male,late,High
5,4,4,8,5284,F,ship,high,female,on_time,High
5,4,5,8,1549,F,flight,low,female,late,Low
5,2,5,5,4805,F,ship,medium,female,late,High
3,3,3,9,5852,B,ship,medium,male,late,High
6,2,4,7,4589,C,road,medium,female,late,High
3,4,3,4,4756,F,road,high,male,on_time,High
4,2,3,3,5488,B,ship,low,female,on_time,High
4,2,3,6,5826,F,ship,low,female,late,High
2,3,3,55,3842,A,ship,medium,female,on_time,High
3,2,3,6,4778,F,ship,low,male,on_time,High
4,3,3,8,5944,F,ship,low,male,late,High
5,5,2,10,5564,D,ship,low,male,late,High
3,5,3,23,3750,A,flight,low,male,on_time,High
3,5,2,6,5289,F,ship,low,female,late,High
6,1,4,5,1867,D,ship,low,male,late,Low
6,2,4,10,1983,F,ship,medium,female,on_time,Low
3,5,6,22,2717,C,flight,medium,male,on_time,Low
3,4,3,5,5915,B,road,medium,female,late,High
4,2,3,48,1193,A,flight,low,female,on_time,Low
5,1,5,2,1950,D,ship,low,female,on_time,Low
4,2,2,28,2815,D,flight,low,female,on_time,Low
4,3,5,2,1482,F,ship,medium,male,late,Low
4,3,3,15,1008,D,ship,low,female,on_time,Low
4,1,2,10,4086,B,flight,low,male,late,High
5,2,2,6,4819,F,flight,medium,female,on_time,High
4,4,3,2,5975,F,ship,low,male,on_time,High
4,2,2,8,4460,F,flight,low,female,late,High
3,2,3,1,5398,F,ship,high,female,late,High
3,2,3,5,5781,F,ship,high,female,on_time,High
5,3,3,6,5064,D,road,medium,female,on_time,High
4,3,3,6,5657,F,ship,medium,female,on_time,High
6,1,4,2,1131,D,flight,medium,female,late,Low
4,4,3,7,4106,A,ship,low,female,on_time,High
4,1,3,4,4972,F,flight,medium,female,on_time,High
5,4,10,34,2960,B,ship,medium,female,on_time,Low
5,4,3,6,5721,F,ship,medium,female,late,High
5,3,6,1,5874,F,ship,medium,female,late,High
6,4,4,9,1108,F,ship,medium,female,on_time,Low
5,3,3,5,5663,A,ship,medium,female,late,High
5,5,5,6,1887,F,ship,low,male,on_time,Low
5,1,5,2,1323,A,ship,high,female,late,Low
4,1,3,7,4808,F,ship,low,female,on_time,High
2,3,4,7,5510,A,ship,medium,male,late,High
6,4,4,9,1104,C,ship,low,male,late,Low
3,3,3,24,1139,B,road,low,female,on_time,Low
4,3,2,47,3606,F,ship,medium,female,on_time,Low
4,2,3,10,5354,A,ship,medium,female,late,High
6,5,4,6,1066,F,ship,low,male,late,Low
4,1,4,2,4543,F,ship,medium,female,late,High
3,4,3,10,2728,D,road,low,female,on_time,Low
3,1,3,4,2304,C,ship,low,male,on_time,Low
3,2,3,1,4308,B,ship,low,male,on_time,High
3,2,2,10,5401,B,road,low,male,late,High
3,2,2,4,1009,C,ship,high,female,on_time,Low
4,2,4,10,5528,A,ship,low,female,on_time,High
5,3,2,3,4474,A,ship,low,male,on_time,High
3,1,2,5,4884,A,road,low,female,late,High
5,5,6,1,1384,C,ship,low,male,late,Low
5,1,3,12,1775,D,ship,high,female,on_time,Low
4,1,2,47,1540,A,road,low,female,on_time,Low
3,3,4,7,1869,C,ship,low,male,on_time,Low
4,4,3,59,2868,B,road,medium,male,on_time,Low
4,5,4,10,1694,F,ship,low,male,on_time,Low
6,4,4,4,1973,C,ship,low,male,late,Low
2,5,3,3,4253,C,ship,medium,female,on_time,High
4,4,7,9,5418,F,ship,medium,male,late,High
3,4,4,11,3030,B,ship,low,male,on_time,Low
2,2,3,61,1800,A,road,low,female,on_time,Low
3,3,3,23,3764,D,ship,medium,male,on_time,High
3,3,6,45,1602,C,road,low,male,on_time,Low
6,1,5,3,1434,C,flight,low,female,late,Low
3,3,2,8,5955,C,ship,low,male,on_time,High
4,3,6,6,4998,D,ship,medium,male,late,High
3,3,3,8,4950,F,ship,medium,female,late,High
4,2,6,8,5227,C,road,low,male,late,High
3,4,2,5,4693,C,flight,low,female,on_time,High
4,1,2,5,5324,A,road,low,male,on_time,High
6,4,3,7,5192,B,ship,low,female,on_time,High
3,4,2,1,5745,B,ship,medium,male,late,High
5,3,2,3,4456,C,flight,low,male,late,High
3,3,3,9,1257,F,ship,medium,male,on_time,Low
2,1,3,3,5922,F,ship,medium,female,late,High
4,3,3,7,5156,F,road,low,male,on_time,High
3,2,4,38,1322,C,ship,medium,female,on_time,Low
3,3,2,36,3340,B,ship,high,male,on_time,Low
3,1,2,1,4970,B,ship,low,female,on_time,High
5,3,4,6,5107,B,ship,low,male,late,High
4,1,3,5,4782,C,ship,high,male,late,High
5,5,3,27,2019,A,ship,medium,female,on_time,Low
5,4,5,2,1409,A,ship,low,male,late,Low
5,2,4,6,5486,A,ship,low,male,late,High
6,5,4,6,1761,C,ship,high,female,late,Low
3,2,4,49,3179,B,flight,medium,female,on_time,Low
6,4,4,1,1872,A,ship,medium,female,late,Low
6,2,4,10,1556,F,ship,low,male,late,Low
4,3,2,10,5709,F,ship,high,male,on_time,High
3,5,4,3,5215,F,ship,medium,female,on_time,High
3,1,3,8,3617,F,ship,low,female,on_time,Low
6,1,5,14,3213,A,ship,low,male,on_time,Low
5,2,3,17,3889,D,flight,low,male,on_time,High
4,5,3,3,4430,D,ship,medium,female,on_time,High
5,3,3,58,3411,D,ship,low,male,on_time,Low
5,1,4,4,1837,C,ship,medium,male,late,Low
4,5,4,5,4643,A,ship,low,female,late,High
2,5,3,13,2171,D,ship,medium,female,on_time,Low
3,2,3,15,1862,C,road,low,male,on_time,Low
5,1,3,8,5845,C,ship,low,male,late,High
2,4,3,3,4811,F,ship,medium,male,late,High
6,3,4,3,5756,A,ship,low,male,late,High
3,5,2,2,4906,F,flight,low,female,on_time,High
6,1,4,6,1866,F,flight,low,female,on_time,Low
4,5,3,6,5154,F,ship,low,male,on_time,High
4,1,2,7,5967,B,ship,medium,female,late,High
5,5,5,4,1667,D,flight,low,female,late,Low
3,1,2,9,4626,A,ship,low,male,on_time,High
4,1,2,2,4581,A,road,medium,male,on_time,High
5,3,3,4,4446,D,ship,medium,female,on_time,High
3,4,2,37,2537,F,ship,low,female,on_time,Low
3,2,4,8,4867,A,ship,medium,male,on_time,High
5,2,3,5,4972,C,ship,high,male,late,High
4,1,3,2,4983,C,ship,medium,male,late,High
6,4,4,5,1327,B,ship,low,female,late,Low
6,3,4,2,1189,C,road,low,female,late,Low
4,1,3,53,2021,C,ship,low,female,on_time,Low
4,5,8,39,1411,A,ship,low,male,on_time,Low
5,2,2,4,3617,D,ship,low,female,on_time,Low
4,2,3,22,1294,F,ship,low,male,on_time,Low
5,2,2,2,4075,A,road,low,male,late,High
3,2,2,7,5141,D,ship,low,male,on_time,High
4,4,5,9,1947,A,ship,low,male,on_time,Low
4,1,2,17,3544,A,flight,low,male,on_time,Low
6,1,3,10,1278,B,flight,medium,male,on_time,Low
4,1,3,3,4673,C,ship,low,female,on_time,High
3,1,3,7,5331,B,road,medium,male,late,High
4,3,4,19,3838,D,flight,low,female,on_time,High
6,4,3,14,1651,B,road,medium,female,on_time,Low
6,1,4,8,1806,F,ship,medium,male,on_time,Low
3,1,2,2,4352,F,ship,high,male,late,High
4,2,3,5,5978,F,ship,medium,female,late,High
4,5,3,3,5857,A,road,medium,male,on_time,High
4,2,3,4,4743,C,ship,medium,male,on_time,High
3,4,3,8,5867,D,road,medium,male,on_time,High
4,3,3,10,4068,C,road,low,female,late,High
7,1,4,3,1450,C,flight,medium,female,late,Low
5,3,5,7,1349,F,ship,low,male,late,Low
